Ativo1,Ativo2,P-valor,N_observacoes
BTC,WBTC,0.0,8535
BNB,SOL,0.00082,8537
ETH,XRP,0.02197,8536
ETH,BNB,0.02754,8536
ADA,XRP,0.04803,8537
BNB,XRP,0.05249,8537
SOL,XRP,0.17068,8537
ADA,BNB,0.22977,8537
ETH,SOL,0.31182,8536
ETH,ADA,0.31757,8536
BTC,SOL,0.45601,8536
WBTC,SOL,0.45749,8535
WBTC,ADA,0.53483,8535
BTC,ADA,0.53499,8536
ADA,SOL,0.60954,8538
BTC,XRP,0.75429,8536
BTC,BNB,0.77276,8536
WBTC,XRP,0.78415,8535
WBTC,BNB,0.79593,8535
BTC,ETH,0.84282,8536
WBTC,ETH,0.85945,8535
