Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5290741174575362,0.52294921875,0.5375816993464052,0.5204049351471054,0.5288538820125381
2,0.5284368481095522,0.51953125,0.5484601449275363,0.3825015792798484,0.45068850018608114
3,0.5419946583120177,0.5305989583333334,0.5362997658079626,0.5169300225733634,0.5264367816091954
4,0.5269585304741555,0.50244140625,0.4967704051673517,0.8392857142857143,0.6241239395057174
5,0.5326541984947546,0.4949544270833333,0.4849063813526939,0.8617996604414262,0.6206137669641766
6,0.521533203125,0.5296223958333334,0.52109375,0.2265625,0.3158143939393939
