Ordem,Timestamp,Valor,Saldo,Sinal,Saldo_norm,Valor_norm
Hold,2020-07-17 03:00:00,3.0775,1029.426207093462,Hold,1029.42620709346,1236.9372990353681
Hold,2020-07-17 04:00:00,3.0482,1019.6253337001755,Hold,1019.6253337001738,1225.1607717041786
Hold,2020-07-17 05:00:00,3.0258,1012.1325158158885,Hold,1012.1325158158867,1216.1575562700948
Hold,2020-07-17 06:00:00,3.0795,1030.0952086902732,Hold,1030.0952086902712,1237.7411575562685
Hold,2020-07-17 07:00:00,3.0953,1035.3803213050828,Hold,1035.3803213050808,1244.0916398713807
Hold,2020-07-17 08:00:00,3.102,1037.6214766544008,Hold,1037.6214766543987,1246.784565916397
Hold,2020-07-17 09:00:00,3.1411,1050.7004578720625,Hold,1050.7004578720605,1262.4999999999982
Hold,2020-07-17 10:00:00,3.132,1047.656500606571,Hold,1047.656500606569,1258.842443729902
Hold,2020-07-17 11:00:00,3.1493,1053.4433644189892,Hold,1053.4433644189871,1265.7958199356897
Hold,2020-07-17 12:00:00,3.1661,1059.0629778322045,Hold,1059.0629778322025,1272.5482315112524
Hold,2020-07-17 13:00:00,3.1561,1055.7179698481477,Hold,1055.7179698481457,1268.5289389067507
Hold,2020-07-17 14:00:00,3.1428,1051.2691092293524,Hold,1051.2691092293503,1263.1832797427635
Hold,2020-07-17 15:00:00,3.095,1035.279971065561,Hold,1035.2799710655588,1243.971061093246
Hold,2020-07-17 16:00:00,3.1128,1041.234085277182,Hold,1041.2340852771797,1251.1254019292585
Sell,2020-07-17 17:00:00,3.104,1038.2904782512123,Sinal: Venda,1038.29047825121,1247.5884244372971
Buy,2020-07-18 04:00:00,3.0537,1038.2904782512123,Sinal: Compra,1038.29047825121,1227.371382636654
Sell,2020-07-18 05:00:00,3.0494,1034.7558124810796,Sinal: Venda,1034.7558124810773,1225.6430868167183
Buy,2020-07-24 07:00:00,3.0634,1034.7558124810796,Sinal: Compra,1034.7558124810773,1231.2700964630205
Hold,2020-07-24 08:00:00,3.0709,1035.2156228147403,Hold,1035.215622814738,1234.2845659163966
Hold,2020-07-24 09:00:00,3.1055,1046.8794544437058,Hold,1046.8794544437035,1248.1913183279723
Sell,2020-07-24 10:00:00,3.0948,1043.2724313676963,Sinal: Venda,1043.272431367694,1243.8906752411556
Buy,2020-07-24 23:00:00,3.0306,1043.2724313676963,Sinal: Compra,1043.272431367694,1218.0868167202555
Hold,2020-07-25 00:00:00,3.0634,1052.4556327724092,Hold,1052.455632772407,1231.2700964630205
Hold,2020-07-25 01:00:00,3.0676,1053.8985764486004,Hold,1053.898576448598,1232.958199356911
Sell,2020-07-25 02:00:00,3.0756,1056.6470405937264,Sinal: Venda,1056.6470405937241,1236.1736334405125
Buy,2020-07-25 16:00:00,3.0566,1056.6470405937264,Sinal: Compra,1056.6470405937241,1228.5369774919595
Hold,2020-07-25 17:00:00,3.0954,1067.9209022116609,Hold,1067.9209022116586,1244.131832797426
Hold,2020-07-25 18:00:00,3.0881,1065.4023835755731,Hold,1065.4023835755709,1241.1977491961395
