Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5598527636060091,0.5346083788706739,0.5159621901194935,0.677993906726037,0.5859833907231112
2,0.5732462183833185,0.5589708561020036,0.5575547866205306,0.552709810198948,0.5551217271474507
3,0.5485965501055652,0.5301684881602914,0.5477888730385164,0.4303003137606454,0.48198820133048825
4,0.5639509695281519,0.5445127504553734,0.5392209178228389,0.47054714784633295,0.5025488001989308
5,0.5669674351397501,0.5456511839708561,0.5614958448753462,0.45704622322435173,0.5039154754505905
6,0.536568096356511,0.5217440801457195,0.5232911392405063,0.47137970353477765,0.49598080383923215
