Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2019-05-19,2020-04-26,1000.0,974.5694489261591,-2.5430551073840886,-55.50534394950147,52.96228884211738,68
2,2020-04-26,2021-04-03,974.5694489261591,1805.3688197528363,85.24783654383002,628.3006641827311,-543.0528276389011,92
3,2021-04-03,2022-03-11,1805.3688197528363,2667.5970735677197,47.7591195982285,-59.516749038989566,107.27586863721807,84
4,2022-03-11,2023-02-16,2667.5970735677197,1526.1530483642534,-42.78922167495359,-52.58855585831063,9.79933418335704,44
5,2023-02-16,2024-01-24,1526.1530483642534,1610.0160184729925,5.495056357461939,30.475086906141367,-24.98003054867943,54
6,2024-01-25,2024-12-31,1610.0160184729925,1797.2816626619988,11.631290747443428,195.73333333333335,-184.10204258588993,68
