Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-09-15,2019-10-04,1000.0,1914.8879267821999,91.48879267822,-19.318813716404076,110.80760639462407,100
2,2019-10-04,2020-10-21,1914.8879267821999,2822.652069858187,47.40560167410971,122.8450736385432,-75.4394719644335,196
3,2020-10-22,2021-11-09,2822.652069858187,15105.543045875636,435.1542688233111,1115.8595427560942,-680.7052739327831,256
4,2021-11-09,2022-11-27,15105.543045875636,10907.259462030683,-27.793000033793806,-74.72808914713323,46.93508911333943,88
5,2022-11-27,2023-12-15,10907.259462030683,12890.331416751924,18.181211894926705,88.50738993580792,-70.32617804088122,74
6,2023-12-15,2024-12-31,12890.331416751924,18752.975000800176,45.480937568675074,47.33213270476897,-1.8511951360938994,150
