Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5480003636366049,0.5354304996190269,0.5319540229885057,0.5090189177298724,0.5202338129496403
2,0.5652514587519715,0.5503428758027648,0.5547886108714409,0.5544298340159517,0.5546091644204851
3,0.5394690808308928,0.5266136932622184,0.552712627339493,0.4866499791405924,0.5175818080976151
4,0.5550517559884642,0.5386959834548819,0.5217248729299885,0.7066400177659338,0.6002641011129976
5,0.5668580908336514,0.5462065962773485,0.5388815354070152,0.7020909678810089,0.6097538144715904
6,0.5609649667991892,0.5459888973549581,0.5504918691025898,0.5866495507060334,0.5679958570688762
