Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.556980887353238,0.537650095387723,0.5556216537775134,0.415665331553182,0.4755600814663951
2,0.5532822232000141,0.5388845247446976,0.5594141270966217,0.5134431916738942,0.5354437535330695
3,0.5232207490754583,0.5125126248456964,0.536750745863846,0.428819068255688,0.4767525897374127
4,0.5365246893597823,0.5062282572101896,0.5017728328646534,0.926620004515692,0.6510152284263959
5,0.5506976680828393,0.5380989787902593,0.5183374083129584,0.5447325391263723,0.5312072892938496
6,0.5379996309254242,0.5296824149927056,0.5528756957328386,0.45446623093681915,0.4988640440033481
