Ordem,Timestamp,Valor,Saldo,Sinal,Saldo_norm,Valor_norm
Buy,2019-05-26 11:00:00,6.2521,1000.0,Sinal: Compra,1000.0,1000.0
Hold,2019-05-26 12:00:00,6.2741,1001.5127835607235,Hold,1001.5127835607236,1003.5188176772602
Hold,2019-05-26 13:00:00,6.3198,1008.8077157754993,Hold,1008.8077157754993,1010.8283616704786
Hold,2019-05-26 14:00:00,6.328,1010.1166532844965,Hold,1010.1166532844965,1012.1399209865485
Hold,2019-05-26 15:00:00,6.3204,1008.903491690792,Hold,1008.903491690792,1010.924329425313
Hold,2019-05-26 16:00:00,6.3103,1007.2912637833688,Hold,1007.2912637833689,1009.3088722189343
Hold,2019-05-26 17:00:00,6.3261,1009.8133628860703,Hold,1009.8133628860704,1011.8360230962397
Hold,2019-05-26 18:00:00,6.3489,1013.4528476671838,Hold,1013.4528476671838,1015.4827977799458
Hold,2019-05-26 19:00:00,6.6112,1055.3228853025382,Hold,1055.322885302538,1057.4367012683738
Hold,2019-05-26 20:00:00,6.8415,1092.0848741222949,Hold,1092.0848741222947,1094.2723244989684
Hold,2019-05-26 21:00:00,6.8378,1091.4942559779913,Hold,1091.494255977991,1093.6805233441562
Hold,2019-05-26 22:00:00,6.821,1088.8125303498025,Hold,1088.8125303498023,1090.9934262087936
Hold,2019-05-26 23:00:00,6.8511,1093.6172887669743,Hold,1093.6172887669738,1095.8078085763182
Hold,2019-05-27 00:00:00,6.9089,1102.8437019401479,Hold,1102.8437019401474,1105.0527022920296
Hold,2019-05-27 01:00:00,6.8673,1096.2032384798706,Hold,1096.2032384798702,1098.398937956846
Hold,2019-05-27 02:00:00,6.8544,1094.1440563010829,Hold,1094.1440563010822,1096.335631227907
Hold,2019-05-27 03:00:00,6.9138,1103.6258719150364,Hold,1103.6258719150358,1105.8364389565104
Hold,2019-05-27 04:00:00,6.8652,1095.868022776347,Hold,1095.8680227763464,1098.0630508149259
Hold,2019-05-27 05:00:00,6.8771,1097.7675784296475,Hold,1097.767578429647,1099.9664112858077
Hold,2019-05-27 06:00:00,6.9207,1104.7272949408998,Hold,1104.7272949408994,1106.9400681371053
Hold,2019-05-27 07:00:00,6.9066,1102.476560931527,Hold,1102.4765609315266,1104.6848258984976
Hold,2019-05-27 08:00:00,6.8951,1100.6408558884216,Hold,1100.6408558884211,1102.8454439308389
Hold,2019-05-27 09:00:00,6.927,1105.7329420514707,Hold,1105.7329420514702,1107.9477295628662
Hold,2019-05-27 10:00:00,6.9516,1109.6597545784616,Hold,1109.6597545784612,1111.8824075110758
Hold,2019-05-27 11:00:00,6.9526,1109.8193811039491,Hold,1109.8193811039487,1112.0423537691331
Hold,2019-05-27 12:00:00,7.2689,1160.309251115625,Hold,1160.3092511156246,1162.6333551926548
Hold,2019-05-27 13:00:00,7.2294,1154.0040033588714,Hold,1154.0040033588707,1156.3154779993915
Hold,2019-05-27 14:00:00,7.2393,1155.584305961197,Hold,1155.5843059611966,1157.898945954159
Hold,2019-05-27 15:00:00,7.4323,1186.3922253802723,Hold,1186.3922253802716,1188.7685737592165
Hold,2019-05-27 16:00:00,7.4045,1181.9546079717213,Hold,1181.9546079717206,1184.3220677852237
Hold,2019-05-27 17:00:00,7.4002,1181.2682139121255,Hold,1181.2682139121248,1183.6342988755775
Take-Profit,2019-05-27 18:00:00,7.6847,1226.681960413301,TP 20.0% hit,1226.6819604133007,1229.1390092928773
Buy,2019-05-29 06:00:00,7.7548,1226.681960413301,Sinal: Compra,1226.6819604133007,1240.3512419826936
Hold,2019-05-29 07:00:00,7.7833,1228.7290430073735,Hold,1228.7290430073729,1244.9097103373265
Hold,2019-05-29 08:00:00,7.9029,1247.6099795694593,Hold,1247.6099795694586,1264.0392828009788
Hold,2019-05-29 09:00:00,7.9318,1252.1723463474214,Hold,1252.1723463474207,1268.6617296588345
Hold,2019-05-29 10:00:00,7.9662,1257.6029836194593,Hold,1257.6029836194584,1274.1638809360052
Hold,2019-05-29 11:00:00,7.8969,1246.6627753941036,Hold,1246.662775394103,1263.0796052526348
Hold,2019-05-29 12:00:00,7.9813,1259.986780794104,Hold,1259.9867807941034,1276.5790694326704
Hold,2019-05-29 13:00:00,8.0966,1278.188887697185,Hold,1278.1888876971843,1295.0208729866763
Hold,2019-05-29 14:00:00,8.0771,1275.1104741272798,Hold,1275.110474127279,1291.901920954559
Hold,2019-05-29 15:00:00,8.146,1285.9875354076116,Hold,1285.987535407611,1302.9222181347066
Hold,2019-05-29 16:00:00,8.1436,1285.6086537374695,Hold,1285.6086537374688,1302.5383471153689
Hold,2019-05-29 17:00:00,8.0791,1275.426208852398,Hold,1275.4262088523974,1292.2218134706736
Hold,2019-05-29 18:00:00,8.1104,1280.3674573005028,Hold,1280.367457300502,1297.2281313478666
Hold,2019-05-29 19:00:00,8.1649,1288.9712285599815,Hold,1288.9712285599808,1305.9452024119892
Hold,2019-05-29 20:00:00,8.0456,1270.1376522066637,Hold,1270.1376522066632,1286.863613825754
Hold,2019-05-29 21:00:00,8.0503,1270.8796288106919,Hold,1270.8796288106914,1287.615361238623
Hold,2019-05-29 22:00:00,8.0605,1272.489875908796,Hold,1272.4898759087955,1289.2468130708078
Hold,2019-05-29 23:00:00,7.9658,1257.5398366744355,Hold,1257.539836674435,1274.099902432782
Hold,2019-05-30 00:00:00,8.127,1282.9880555189861,Hold,1282.9880555189857,1299.883239231618
Hold,2019-05-30 01:00:00,8.0005,1263.0178341552416,Hold,1263.0178341552412,1279.6500375873704
Hold,2019-05-30 02:00:00,7.9751,1259.008003146237,Hold,1259.0080031462364,1275.587402632715
Hold,2019-05-30 03:00:00,8.0566,1271.874193194815,Hold,1271.8741931948148,1288.6230226643845
Hold,2019-05-30 04:00:00,8.1092,1280.1780164654315,Hold,1280.1780164654313,1297.036195838198
Hold,2019-05-30 05:00:00,8.0432,1269.7587705365213,Hold,1269.758770536521,1286.4797428064169
Hold,2019-05-30 06:00:00,8.046,1270.200799151687,Hold,1270.2007991516866,1286.9275923289772
Hold,2019-05-30 07:00:00,8.0712,1274.17905668818,Hold,1274.1790566881793,1290.958238032021
Hold,2019-05-30 08:00:00,8.0586,1272.1899279199338,Hold,1272.1899279199333,1288.9429151804993
Hold,2019-05-30 09:00:00,8.0652,1273.2318525128246,Hold,1273.2318525128244,1289.9985604836777
Hold,2019-05-30 10:00:00,8.0733,1274.5105781495545,Hold,1274.5105781495542,1291.2941251739417
Hold,2019-05-30 11:00:00,8.0664,1273.4212933478957,Hold,1273.4212933478955,1290.1904959933463
Hold,2019-05-30 12:00:00,8.0684,1273.7370280730145,Hold,1273.7370280730142,1290.5103885094609
Hold,2019-05-30 13:00:00,8.0907,1277.2574702580853,Hold,1277.257470258085,1294.0771900641384
Hold,2019-05-30 14:00:00,8.0955,1278.0152335983698,Hold,1278.0152335983694,1294.8449321028133
Hold,2019-05-30 15:00:00,8.3307,1315.1456372723044,Hold,1315.1456372723042,1332.4642919978887
Hold,2019-05-30 16:00:00,7.8804,1244.0579639118762,Hold,1244.0579639118757,1260.4404919946896
Hold,2019-05-30 17:00:00,7.8795,1243.9158832855728,Hold,1243.9158832855726,1260.2965403624382
Hold,2019-05-30 18:00:00,8.0889,1276.9733090054788,Hold,1276.9733090054788,1293.7892867996354
Hold,2019-05-30 19:00:00,8.0018,1263.2230617265684,Hold,1263.2230617265682,1279.8579677228452
Hold,2019-05-30 20:00:00,7.8446,1238.406312332255,Hold,1238.4063123322549,1254.7144159562388
Stop-Loss,2019-05-30 21:00:00,7.2015,1136.8818114704045,SL 5.0% hit,1136.8818114704043,1151.852977399594
Buy,2019-05-30 22:00:00,7.3409,1136.8818114704045,Sinal: Compra,1136.8818114704043,1174.1494857727807
Hold,2019-05-30 23:00:00,7.3,1128.2876825080996,Hold,1128.2876825080991,1167.6076838182373
Hold,2019-05-31 00:00:00,7.3914,1142.414462532927,Hold,1142.4144625329266,1182.226771804674
Hold,2019-05-31 01:00:00,7.4107,1145.3974696935306,Hold,1145.3974696935302,1185.3137345851796
Hold,2019-05-31 02:00:00,7.3823,1141.0079669287045,Hold,1141.007966928704,1180.7712608563525
Hold,2019-05-31 03:00:00,7.3527,1136.432992216069,Hold,1136.4329922160684,1176.0368516178567
Hold,2019-05-31 04:00:00,7.1928,1111.7188551704462,Hold,1111.7188551704457,1150.4614449544958
Hold,2019-05-31 05:00:00,7.3584,1137.3139839681642,Hold,1137.313983968164,1176.9485452887836
Sell,2019-05-31 06:00:00,7.4218,1147.113085210769,Sinal: Venda,1147.1130852107688,1187.089138049616
Buy,2019-07-09 21:00:00,5.8833,1147.113085210769,Sinal: Compra,1147.1130852107688,941.0118200284711
Hold,2019-07-09 22:00:00,5.8679,1141.8233498389895,Hold,1141.8233498389893,938.5486476543886
Hold,2019-07-09 23:00:00,5.8859,1145.3259351415857,Hold,1145.3259351415854,941.4276802994199
Hold,2019-07-10 00:00:00,5.8989,1147.8555800823492,Hold,1147.855580082349,943.5069816541646
Hold,2019-07-10 01:00:00,5.8862,1145.3843115632951,Hold,1145.384311563295,941.4756641768369
