Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5741191174411417,0.5520844671818874,0.5606090567530156,0.5996192893401016,0.5794583546244252
2,0.5797413533580789,0.5545880047893763,0.5477665471144441,0.718255664814023,0.6215316315205327
3,0.5487743155504268,0.535539349080222,0.5446516192345436,0.5876747141041931,0.5653458286645615
4,0.5680313778696869,0.5372809404593447,0.5208424110384895,0.7902159541648304,0.6278560798389214
5,0.5797027885713961,0.5512136714923261,0.5444211785821119,0.7716769132923468,0.6384284837323512
6,0.5517043886000698,0.5368455426145641,0.5518856875146404,0.5014899957428693,0.5254823240771719
