Ordem,Timestamp,Valor,Saldo,Sinal,Saldo_norm,Valor_norm
Buy,2020-09-12 21:00:00,229.24,1000.0,Sinal: Compra,1000.0,1000.0
Hold,2020-09-12 22:00:00,228.62,995.301817396615,Hold,995.301817396615,997.2954109230501
Hold,2020-09-12 23:00:00,230.23,1002.31098512476,Hold,1002.3109851247598,1004.3186180422266
Hold,2020-09-13 00:00:00,229.13,997.5221127639155,Hold,997.5221127639153,999.5201535508638
Hold,2020-09-13 01:00:00,229.14,997.5656479671959,Hold,997.5656479671957,999.5637759553308
Hold,2020-09-13 02:00:00,230.13,1001.875633091956,Hold,1001.8756330919558,1003.8823939975574
Hold,2020-09-13 03:00:00,233.75,1017.6353766794626,Hold,1017.6353766794624,1019.6737044145876
Hold,2020-09-13 04:00:00,232.86,1013.7607435875067,Hold,1013.7607435875065,1015.7913104170307
Hold,2020-09-13 05:00:00,232.46,1012.0193354562904,Hold,1012.01933545629,1014.0464142383531
Hold,2020-09-13 06:00:00,231.41,1007.4481391118478,Hold,1007.4481391118475,1009.4660617693252
Hold,2020-09-13 07:00:00,232.56,1012.4546874890945,Hold,1012.4546874890941,1014.4826382830228
Hold,2020-09-13 08:00:00,231.5,1007.8399559413715,Hold,1007.839955941371,1009.8586634095277
Hold,2020-09-13 09:00:00,229.09,997.347971950794,Hold,997.3479719507936,999.3456639329966
Hold,2020-09-13 10:00:00,228.31,993.9522260949224,Hold,993.952226094922,995.9431163845757
Hold,2020-09-13 11:00:00,225.17,980.2821722648752,Hold,980.2821722648749,982.2456813819582
Hold,2020-09-13 12:00:00,222.73,969.6595826644564,Hold,969.6595826644561,971.6018146920262
Hold,2020-09-13 13:00:00,224.17,975.9286519368347,Hold,975.9286519368345,977.8834409352647
Hold,2020-09-13 14:00:00,223.45,972.7941173006457,Hold,972.7941173006454,974.7426278136454
Hold,2020-09-13 15:00:00,220.67,960.6913307886931,Hold,960.6913307886929,962.6155993718376
