Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5447536037948422,0.5276621787025704,0.5077361563517915,0.6337992376111817,0.5638069402057194
2,0.5508512979750257,0.5305997552019583,0.5385568287395478,0.42580803134182177,0.4755914125529878
3,0.5258471955311044,0.50734394124847,0.5337972166998012,0.38094112083234805,0.4445977645922451
4,0.5230483890460309,0.5150550795593635,0.5211059518784297,0.5932244113407016,0.5548314606741573
5,0.5264613480875941,0.5270501835985312,0.5371819960861057,0.6467954759660698,0.586914688903143
6,0.48504243743851816,0.4910648714810282,0.5056252704456945,0.5551068883610452,0.5292119565217391
