Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2019-05-28,2020-05-03,1000.0,1394.1769017701583,39.417690177015835,-51.61582603443069,91.03351621144652,58
2,2020-05-03,2021-04-09,1394.1769017701583,5663.196138125233,306.2035550104716,633.5209505941214,-327.3173955836498,110
3,2021-04-09,2022-03-16,5663.196138125233,3580.5431881483955,-36.77522196266872,-48.40311670519736,11.627894742528646,78
4,2022-03-16,2023-02-20,3580.5431881483955,4296.009178948878,19.982051694521548,19.22885158716968,0.7532001073518693,42
5,2023-02-20,2024-01-26,4296.009178948878,6332.873534305341,47.41294234978407,59.31216197476079,-11.899219624976723,20
6,2024-01-26,2024-12-31,6332.873534305341,10476.684866416388,65.43335043189971,121.75805047867713,-56.32470004677742,34
