Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5554534381057044,0.542875157629256,0.5585160202360877,0.5100092392978134,0.5331616226658081
2,0.5236464416214822,0.5223833543505675,0.5220088626292467,0.5558351682919157,0.5383912248628885
3,0.5376471847250428,0.4776166456494325,0.4785373608903021,0.9888304862023654,0.6449539318620099
4,0.5686168825809723,0.5537515762925599,0.5266106442577031,0.5636242504996669,0.5444891391794047
5,0.5401518650996626,0.53562421185372,0.5307197191339965,0.2972795804654212,0.3810924369747899
6,0.5362376514474209,0.5274274905422447,0.5223233636757694,0.3885843276362464,0.4456360946745562
