Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2020-07-03,2021-04-03,1000.0,1998.0395440965478,99.80395440965478,127.994983132947,-28.19102872329222,114
2,2021-04-03,2022-01-02,1998.0395440965478,1950.285876748543,-2.390026137825898,-11.047290829025464,8.657264691199565,78
3,2022-01-02,2022-10-03,1950.285876748543,1758.595978846272,-9.82881023687925,-70.46278524205589,60.63397500517664,46
4,2022-10-03,2023-07-03,1758.595978846272,1978.887125923577,12.52653535701971,-39.19885550786838,51.72539086488809,44
5,2023-07-03,2024-04-02,1978.887125923577,2104.374251618597,6.341297795671558,46.4159811985899,-40.07468340291834,50
6,2024-04-02,2024-12-31,2104.374251618597,2410.6467754192863,14.554090060982125,3.877221324717289,10.676868736264836,10
