Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-09-15,2019-10-04,1000.0,1213.5243544351285,21.352435443512853,24.767499527859364,-3.415064084346511,186
2,2019-10-04,2020-10-21,1213.5243544351285,2189.0103348501625,80.38454084995297,56.46316964695598,23.921371202996987,104
3,2020-10-22,2021-11-09,2189.0103348501625,7997.500559586074,265.34777530566123,427.549920534738,-162.2021452290768,182
4,2021-11-09,2022-11-27,7997.500559586074,2755.95366735591,-65.53981275996873,-75.44796775098528,9.90815499101656,54
5,2022-11-27,2023-12-15,2755.95366735591,5392.875250167951,95.68091125936563,159.0683729026105,-63.38746164324486,56
6,2023-12-15,2024-12-31,5392.875250167951,9935.091478428945,84.2262432849626,119.69998095914718,-35.47373767418458,162
