Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5802992530073454,0.5608954860688649,0.5563858695652174,0.5982468955441929,0.5765575501583949
2,0.5783898646385266,0.5556637060469644,0.5671525247267049,0.5227927063339731,0.5440699126092384
3,0.5502070203907177,0.5349799245650323,0.5458492975734355,0.5111217412102368,0.5279150197628458
4,0.5523245201779245,0.5320598612969948,0.5079433233147274,0.6035714285714285,0.5516437397994871
5,0.5744276988427108,0.552621973476092,0.5033039647577092,0.6164014027515511,0.5541408997211107
6,0.5407591858341683,0.5278014356977735,0.5326883611844034,0.44273879142300193,0.4835662009314704
