Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5324926397951761,0.5215643274853801,0.5070928693020617,0.6699150424787607,0.5772418990203466
2,0.5563383241958869,0.5327729044834308,0.5734901122394441,0.2610705596107056,0.35880287577328207
3,0.524940276890066,0.5177875243664717,0.53125,0.3854317414375302,0.4467430807939614
4,0.55023248607759,0.5361842105263158,0.5132871172732525,0.45575788663759936,0.48281483494090477
5,0.5535360761496957,0.5467836257309941,0.5249343832020997,0.3129890453834116,0.39215686274509803
6,0.5511656861870373,0.547270955165692,0.5336768494663231,0.37189022826365736,0.43833131801692865
