Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2019-12-05,2020-08-18,1000.0,2305.512515100739,130.5512515100739,75.12158623269734,55.42966527737657,44
2,2020-08-18,2021-05-01,2305.512515100739,4263.374303391807,84.92089179596232,353.0105129021981,-268.08962110623577,86
3,2021-05-01,2022-01-13,4263.374303391807,3275.234325914074,-23.177415520180812,-52.86250586579071,29.685090345609897,58
4,2022-01-13,2022-09-26,3275.234325914074,3700.0103649846437,12.969332780549085,-30.198019801980198,43.16735258252928,36
5,2022-09-26,2023-06-09,3700.0103649846437,3675.7103092049174,-0.6567564245141564,0.2836879432624154,-0.9404443677765718,18
6,2023-06-09,2024-02-20,3675.7103092049174,3693.696559906601,0.4893272099447436,-15.99433828733192,16.483665497276665,2
