Fold,AUC,Acurácia,Precisão,Recall,F1 Score
1,0.5695555683267475,0.5477653294783761,0.5438474063735752,0.5659646574679255,0.5546856465005932
2,0.5633322717532105,0.5478857968919407,0.5505350772889417,0.5540928674006702,0.55230824287248
3,0.5488071396630751,0.532465967955668,0.5463976945244957,0.4511063526052819,0.4942004431122117
4,0.5437232897610316,0.532465967955668,0.5301232844847639,0.5504830917874396,0.5401113876051665
5,0.5716176451288726,0.5511384170581858,0.5602598027423623,0.5509817837709959,0.5555820610687023
6,0.5507898897639769,0.5376460667389471,0.5428571428571428,0.5140052669379938,0.5280373831775701
