Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-12-25,2019-12-27,1000.0,1250.6723890208534,25.067238902085343,34.48162729658793,-9.414388394502588,90
2,2019-12-27,2020-12-28,1250.6723890208534,4712.304457576179,276.7816815133677,219.73910903273443,57.042572480633254,102
3,2020-12-28,2021-12-29,4712.304457576179,6286.369992165722,33.40330720904183,13.270828569250703,20.132478639791124,168
4,2021-12-29,2022-12-30,6286.369992165722,3872.6828177419893,-38.39556337650739,-53.31958762886598,14.924024252358592,70
5,2022-12-30,2023-12-31,3872.6828177419893,3491.5897390858495,-9.840544567973176,7.1975272299087445,-17.03807179788192,48
6,2024-01-01,2024-12-31,3491.5897390858495,4054.203459445965,16.113397117137147,41.36326307144812,-25.24986595431097,96
