Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2019-04-25,2020-04-06,1000.0,916.2268938641906,-8.377310613580939,-37.33939776235849,28.96208714877755,102
2,2020-04-06,2021-03-18,916.2268938641906,2553.2970361364437,178.6751898722273,148.36078597531912,30.314403896908175,112
3,2021-03-19,2022-02-28,2553.2970361364437,4934.995259449449,93.27932432479162,55.079525209813475,38.19979911497814,126
4,2022-02-28,2023-02-09,4934.995259449449,3143.4182868156954,-36.30351962756745,-45.75732448866777,9.453804861100323,88
5,2023-02-09,2024-01-21,3143.4182868156954,3857.0679449883805,22.70298105619336,41.25891946992864,-18.555938413735284,56
6,2024-01-21,2024-12-31,3857.0679449883805,6497.020947884821,68.44455530856337,276.1010830324909,-207.65652772392755,92
