Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-04-28,2018-12-28,1000.0,243.745156340823,-75.6254843659177,-79.76185044938181,4.136366083464111,74
2,2018-12-28,2019-08-30,243.745156340823,406.19065732755155,66.64563244062373,28.011162229429054,38.634470211194675,62
3,2019-08-30,2020-04-30,406.19065732755155,308.1428196175391,-24.138378355400437,22.895622895622907,-47.03400125102334,76
4,2020-04-30,2020-12-30,308.1428196175391,620.1436149022293,101.25200894570237,253.8101894249771,-152.5581804792747,60
5,2020-12-30,2021-08-31,620.1436149022293,637.3193072278848,2.7696314068094385,358.4056687333924,-355.636037326583,58
6,2021-08-31,2022-05-02,637.3193072278848,580.1173486618721,-8.975400229881798,-17.783487786798556,8.808087556916758,76
7,2022-05-02,2023-01-01,580.1173486618721,477.4382464185948,-17.699712390970916,-57.20935224772366,39.50963985675274,56
8,2023-01-01,2023-09-01,477.4382464185948,689.0959338842501,44.33195058279518,34.376777647649305,9.955172935145875,74
9,2023-09-01,2024-05-02,689.0959338842501,1032.2448361255524,49.79697098298975,81.729450573889,-31.93247959089925,64
10,2024-05-02,2024-12-31,1032.2448361255524,1514.3883755875552,46.70825395181337,13.285251243063462,33.423002708749905,58
