Semestre,Saldo Inicial,Saldo Final,Retorno (%),Retorno Cripto (%),Retorno Liquido (%)
2017-08-01,1000.0,1000.0,0.0,166.0068072251764,-166.0068072251764
2018-02-01,1000.0,1000.0,0.0,-23.22657848219427,23.22657848219427
2018-08-01,1000.0,1008.2085589750582,0.8208558975058168,-54.45484675709119,55.275702654597005
2019-02-01,1008.2085589750582,1008.2085589750582,0.0,194.88167324850082,-194.88167324850082
2019-08-01,1008.2085589750582,1031.138994251606,2.27437419296051,-6.358917983744538,8.633292176705048
2020-02-01,1031.138994251606,1066.1171124773412,3.392182666035447,20.17666896726471,-16.784486301229265
2020-08-01,1066.1171124773412,975.1363318715793,-8.533844878856641,191.15356461637,-199.68740949522663
2021-02-01,975.1363318715793,970.1377634044417,-0.5126020130481498,23.49397464762135,-24.0065766606695
2021-08-01,970.1377634044417,995.6227351307577,2.626943583443584,-9.351285126262121,11.978228709705705
2022-02-01,995.6227351307577,975.0435785763225,-2.066963301288268,-39.64963952988874,37.58267622860047
2022-08-01,975.0435785763225,968.1793496724681,-0.7039920117085391,-1.0715865504315913,0.36759453872305226
2023-02-01,968.1793496724681,966.2439591524729,-0.19989999999998997,26.38136565242224,-26.58126565242223
2023-08-01,966.2439591524729,970.4885859766205,0.4392914215857706,47.66776486908271,-47.22847344749694
2024-02-01,970.4885859766205,934.9288681826439,-3.664104689927103,53.81887463361865,-57.48297932354575
2024-08-01,934.9288681826439,934.9288681826439,0.0,60.20636883659145,-60.20636883659145
2025-02-01,934.9288681826439,934.9288681826439,0.0,15.363270848404763,-15.363270848404763
