Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2020-11-13,2021-02-06,1000.0,2280.1689718976213,128.01689718976212,196.83352974330074,-68.81663255353862,18
2,2021-02-06,2021-05-03,2280.1689718976213,3388.3510354968976,48.60087463943585,682.8923582580115,-634.2914836185757,36
3,2021-05-03,2021-07-27,3388.3510354968976,2035.1722264485231,-39.93620480499986,-42.85006911634241,2.91386431134255,34
4,2021-07-27,2021-10-21,2035.1722264485231,2217.666102879545,8.96699915905805,576.3593641003048,-567.3923649412467,32
5,2021-10-21,2022-01-14,2217.666102879545,1454.9763772092729,-34.39154905600767,-21.204342478207394,-13.187206577800275,24
6,2022-01-14,2022-04-10,1454.9763772092729,1641.5908143837746,12.82594275052347,-23.564303046643303,36.39024579716677,20
7,2022-04-10,2022-07-04,1641.5908143837746,1976.669822637486,20.411847173955735,-69.2624787167309,89.67432589068663,32
8,2022-07-04,2022-09-28,1976.669822637486,1837.7511988188141,-7.0279124124691545,-7.255520504731845,0.22760809226269085,20
9,2022-09-28,2022-12-22,1837.7511988188141,1138.866755271614,-38.029328670627294,-63.582920792079214,25.55359212145192,28
10,2022-12-22,2023-03-18,1138.866755271614,1310.8026287902078,15.097101809560499,91.21621621621622,-76.11911440665573,28
11,2023-03-18,2023-06-11,1310.8026287902078,971.8955563467508,-25.854927736622553,-31.37962128043282,5.524693543810265,32
12,2023-06-11,2023-09-05,971.8955563467508,1149.8196797014741,18.30691808320645,20.062500000000007,-1.755581916793556,20
13,2023-09-05,2023-11-29,1149.8196797014741,1238.3162876865997,7.696564039337179,209.58762886597944,-201.89106482664226,16
14,2023-11-29,2024-02-23,1238.3162876865997,1553.0838953738155,25.418999234457218,69.54711954711954,-44.12812031266232,28
15,2024-02-23,2024-05-18,1553.0838953738155,1231.651608067786,-20.69638918177458,69.07236713080994,-89.76875631258451,24
16,2024-05-18,2024-08-12,1231.651608067786,837.0169265232661,-32.04109660227882,-16.447024673439774,-15.594071928839046,32
17,2024-08-12,2024-11-05,837.0169265232661,912.668673193108,9.038257683040905,13.704262025489927,-4.666004342449021,28
18,2024-11-05,2025-01-30,912.668673193108,1003.656115379195,9.969383726928386,46.40745932110427,-36.438075594175885,22
19,2025-01-30,2025-04-25,1003.656115379195,1227.5683648652741,22.3096582639246,-35.98158225198828,58.291240515912875,14
20,2025-04-25,2025-07-20,1227.5683648652741,1625.0162151624443,32.37684040031368,17.55614266842799,14.82069773188569,26
