Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-08-23,2018-12-28,1000.0,1001.2162587334383,0.12162587334382806,-60.59358752166377,60.7152133950076,38
2,2018-12-28,2019-05-03,1001.2162587334383,1378.7469031324576,37.707202725273795,93.7022900763359,-55.995087351062104,48
3,2019-05-03,2019-09-07,1378.7469031324576,805.5047904597664,-41.5770371900969,-38.18720045108543,-3.3898367390114714,52
4,2019-09-07,2020-01-11,805.5047904597664,774.6772553283845,-3.827107609600448,-16.034719049794425,12.207611440193977,50
5,2020-01-11,2020-05-16,774.6772553283845,1193.2445355088594,54.03118231514941,37.21936705436839,16.811815260781017,52
6,2020-05-16,2020-09-19,1193.2445355088594,1636.3342244964729,37.133184003952536,83.24055666003977,-46.107372656087236,60
7,2020-09-19,2021-01-23,1636.3342244964729,3484.970787224807,112.97426497922147,275.4940282301846,-162.51976325096314,52
8,2021-01-24,2021-05-30,3484.970787224807,4825.61741847401,38.46937931771885,348.61660079051387,-310.147221472795,58
9,2021-05-30,2021-10-03,4825.61741847401,8851.508389853012,83.42747926859268,38.08531502819319,45.342164240399484,60
10,2021-10-03,2022-02-06,8851.508389853012,4083.484519355879,-53.866794906538075,-50.32967032967033,-3.537124576867747,56
11,2022-02-06,2022-06-12,4083.484519355879,2751.436532096872,-32.620375587198794,-53.505798394290814,20.88542280709202,56
12,2022-06-12,2022-10-16,2751.436532096872,2863.7778394978495,4.083005589642379,-28.501755754974635,32.584761344617014,50
13,2022-10-16,2023-02-19,2863.7778394978495,3334.3022228932036,16.430198491858516,9.211595773503124,7.218602718355392,38
14,2023-02-19,2023-06-25,3334.3022228932036,3442.293322524739,3.238791579541653,-26.045816733067735,29.284608312609386,36
15,2023-06-25,2023-10-29,3442.293322524739,2567.7389896616683,-25.406153715617457,-1.7821116341627343,-23.62404208145472,40
16,2023-10-29,2024-03-03,2567.7389896616683,3933.0956710060964,53.17349959796073,153.75643224699832,-100.58293264903759,58
17,2024-03-03,2024-07-07,3933.0956710060964,2172.6981268298764,-44.758574197761774,-49.05764204154629,4.299067843784513,48
18,2024-07-07,2024-11-10,2172.6981268298764,2525.9177656466654,16.25718890512241,41.21824638077029,-24.96105747564788,42
19,2024-11-10,2025-03-16,2525.9177656466654,2275.093133646899,-9.930039505286603,38.307057057057044,-48.237096562343645,64
20,2025-03-16,2025-07-20,2275.093133646899,1977.0666461632015,-13.099529117121053,12.5679347826087,-25.667463899729754,48
