Semestre,Saldo Inicial,Saldo Final,Retorno (%),Retorno Cripto (%),Retorno Liquido (%)
2017-08-01,1000.0,2165.9276771857194,116.59276771857195,265.1624841736195,-148.5697164550475
2018-02-01,2165.9276771857194,1368.2443888100947,-36.82871301649776,-62.0859649122807,25.257251895782943
2018-08-01,1368.2443888100947,832.0501745595169,-39.1884826011882,-74.51271490828984,35.32423230710164
2019-02-01,832.0501745595169,1761.2532243691874,111.67632412331213,108.17765916889056,3.498664954421571
2019-08-01,1761.2532243691874,1628.7812016434411,-7.521463744839563,-15.80596875292356,8.284505008083997
2020-02-01,1628.7812016434411,2698.548902794446,65.67903043524868,88.72541005939732,-23.046379624148642
2020-08-01,2698.548902794446,8784.852775215722,225.53987686191962,272.60830068699255,-47.06842382507293
2021-02-01,8784.852775215722,12720.61531013639,44.80169031431515,92.19466634267836,-47.39297602836321
2021-08-01,12720.61531013639,14607.32159123448,14.831879080524294,2.692145996560291,12.139733083964003
2022-02-01,14607.32159123448,8094.872175751508,-44.583460251816085,-39.013381208161015,-5.5700790436550704
2022-08-01,8094.872175751508,5780.125737306455,-28.595219148474783,-6.2916353877891185,-22.303583760685665
2023-02-01,5780.125737306455,6318.563676764602,9.315332640307911,17.135446576760227,-7.820113936452316
2023-08-01,6318.563676764602,8749.060477315203,38.465969876798454,25.001505620069086,13.464464256729368
2024-02-01,8749.060477315203,12266.568004537958,40.20440293381263,43.21839793373235,-3.013994999919717
2024-08-01,12266.568004537958,14288.692201242762,16.48484071467039,3.8628540503804043,12.621986664289986
2025-02-01,14288.692201242762,17533.741069574186,22.71060795927275,11.11917787829173,11.59143008098102
