Semestre,Saldo Inicial,Saldo Final,Retorno (%),Retorno Cripto (%),Retorno Liquido (%)
2020-08-01,1000.0,1000.0,0.0,24.367560611821148,-24.367560611821148
2021-02-01,1000.0,3295.0679045706966,229.50679045706966,770.9998577727207,-541.493067315651
2021-08-01,3295.0679045706966,7908.260422602033,140.00295749997218,175.6719312829038,-35.66897378293163
2022-02-01,7908.260422602033,4739.4564932716075,-40.0695445015176,-60.39094650205761,20.32140200054001
2022-08-01,4739.4564932716075,1723.8874469852947,-63.62689583852875,-44.385026737967905,-19.241869100560848
2023-02-01,1723.8874469852947,2532.1578524376837,46.88649522136023,-0.5865102639296182,47.473005485289846
2023-08-01,2532.1578524376837,5281.664414978675,108.5835371556346,314.3589743589744,-205.77543720333983
2024-02-01,5281.664414978675,4885.387550904899,-7.5028785045476205,83.45085470085472,-90.95373320540234
2024-08-01,4885.387550904899,9342.154299818241,91.22647287394496,37.45107341952318,53.77539945442177
2025-02-01,9342.154299818241,10724.88845855963,14.801020346755465,-23.105504190788917,37.906524537544385
